"","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","s2cDNADate","s2cDNAPreparer","s2cDNASampleNumber","s2cDNAProtocol","roboticS2Prep"
"60","06.14.19","J.PLAGGENBERG",24,"06.14.19","J.PLAGGENBERG",24,"E7760","No"
"61","06.14.19","J.PLAGGENBERG",25,"06.14.19","J.PLAGGENBERG",25,"E7760","No"
"62","06.14.19","J.PLAGGENBERG",26,"06.14.19","J.PLAGGENBERG",26,"E7760","No"
"63","06.14.19","J.PLAGGENBERG",27,"06.14.19","J.PLAGGENBERG",27,"E7760","No"
"64","06.14.19","J.PLAGGENBERG",28,"06.14.19","J.PLAGGENBERG",28,"E7760","No"
"65","06.14.19","J.PLAGGENBERG",29,"06.14.19","J.PLAGGENBERG",29,"E7760","No"
"66","06.14.19","J.PLAGGENBERG",30,"06.14.19","J.PLAGGENBERG",30,"E7760","No"
"67","06.14.19","J.PLAGGENBERG",31,"06.14.19","J.PLAGGENBERG",31,"E7760","No"
"68","06.14.19","J.PLAGGENBERG",32,"06.14.19","J.PLAGGENBERG",32,"E7760","No"
"69","06.14.19","J.PLAGGENBERG",33,"06.14.19","J.PLAGGENBERG",33,"E7760","No"
"70","06.14.19","J.PLAGGENBERG",34,"06.14.19","J.PLAGGENBERG",34,"E7760","No"
"71","06.14.19","J.PLAGGENBERG",35,"06.14.19","J.PLAGGENBERG",35,"E7760","No"
"72","06.14.19","J.PLAGGENBERG",36,"06.14.19","J.PLAGGENBERG",36,"E7760","No"
"73","06.26.19","J.PLAGGENBERG",1,"06.26.19","J.PLAGGENBERG",1,"E7760","No"
"74","06.26.19","J.PLAGGENBERG",2,"06.26.19","J.PLAGGENBERG",2,"E7760","No"
"75","06.26.19","J.PLAGGENBERG",3,"06.26.19","J.PLAGGENBERG",3,"E7760","No"
"76","06.26.19","J.PLAGGENBERG",4,"06.26.19","J.PLAGGENBERG",4,"E7760","No"
"77","06.26.19","J.PLAGGENBERG",5,"06.26.19","J.PLAGGENBERG",5,"E7760","No"
"78","06.26.19","J.PLAGGENBERG",6,"06.26.19","J.PLAGGENBERG",6,"E7760","No"
"79","06.26.19","H.BROWN",25,"06.26.19","H.BROWN",25,"E7760","No"
"80","06.26.19","H.BROWN",26,"06.26.19","H.BROWN",26,"E7760","No"
"81","06.26.19","H.BROWN",27,"06.26.19","H.BROWN",27,"E7760","No"
"82","06.26.19","H.BROWN",28,"06.26.19","H.BROWN",28,"E7760","No"
"83","06.26.19","H.BROWN",29,"06.26.19","H.BROWN",29,"E7760","No"
"84","06.26.19","H.BROWN",30,"06.26.19","H.BROWN",30,"E7760","No"
"85","06.26.19","J.PLAGGENBERG",7,"06.26.19","J.PLAGGENBERG",7,"E7760","No"
"86","06.26.19","J.PLAGGENBERG",8,"06.26.19","J.PLAGGENBERG",8,"E7760","No"
"87","06.26.19","J.PLAGGENBERG",9,"06.26.19","J.PLAGGENBERG",9,"E7760","No"
"88","06.26.19","J.PLAGGENBERG",10,"06.26.19","J.PLAGGENBERG",10,"E7760","No"
"89","06.26.19","J.PLAGGENBERG",11,"06.26.19","J.PLAGGENBERG",11,"E7760","No"
"90","06.26.19","J.PLAGGENBERG",12,"06.26.19","J.PLAGGENBERG",12,"E7760","No"
"91","06.26.19","H.BROWN",31,"06.26.19","H.BROWN",31,"E7760","No"
"92","06.26.19","H.BROWN",32,"06.26.19","H.BROWN",32,"E7760","No"
"93","06.26.19","H.BROWN",33,"06.26.19","H.BROWN",33,"E7760","No"
"94","06.26.19","H.BROWN",34,"06.26.19","H.BROWN",34,"E7760","No"
"95","06.26.19","H.BROWN",35,"06.26.19","H.BROWN",35,"E7760","No"
"96","06.26.19","H.BROWN",36,"06.26.19","H.BROWN",36,"E7760","No"
"97","06.26.19","J.PLAGGENBERG",13,"06.26.19","J.PLAGGENBERG",13,"E7760","No"
"98","06.26.19","J.PLAGGENBERG",14,"06.26.19","J.PLAGGENBERG",14,"E7760","No"
"99","06.26.19","J.PLAGGENBERG",15,"06.26.19","J.PLAGGENBERG",15,"E7760","No"
"100","06.26.19","J.PLAGGENBERG",16,"06.26.19","J.PLAGGENBERG",16,"E7760","No"
"101","06.26.19","J.PLAGGENBERG",17,"06.26.19","J.PLAGGENBERG",17,"E7760","No"
"102","06.26.19","J.PLAGGENBERG",18,"06.26.19","J.PLAGGENBERG",18,"E7760","No"
"103","06.26.19","H.BROWN",37,"06.26.19","H.BROWN",37,"E7760","No"
"104","06.26.19","H.BROWN",38,"06.26.19","H.BROWN",38,"E7760","No"
"105","06.26.19","H.BROWN",39,"06.26.19","H.BROWN",39,"E7760","No"
"106","06.26.19","H.BROWN",40,"06.26.19","H.BROWN",40,"E7760","No"
"107","06.26.19","H.BROWN",41,"06.26.19","H.BROWN",41,"E7760","No"
"108","06.26.19","H.BROWN",42,"06.26.19","H.BROWN",42,"E7760","No"
"109","06.26.19","J.PLAGGENBERG",19,"06.26.19","J.PLAGGENBERG",19,"E7760","No"
"110","06.26.19","J.PLAGGENBERG",20,"06.26.19","J.PLAGGENBERG",20,"E7760","No"
"111","06.26.19","J.PLAGGENBERG",21,"06.26.19","J.PLAGGENBERG",21,"E7760","No"
"112","06.26.19","J.PLAGGENBERG",22,"06.26.19","J.PLAGGENBERG",22,"E7760","No"
"113","06.26.19","J.PLAGGENBERG",23,"06.26.19","J.PLAGGENBERG",23,"E7760","No"
"114","06.26.19","J.PLAGGENBERG",24,"06.26.19","J.PLAGGENBERG",24,"E7760","No"
"115","06.26.19","H.BROWN",43,"06.26.19","H.BROWN",43,"E7760","No"
"116","06.26.19","H.BROWN",44,"06.26.19","H.BROWN",44,"E7760","No"
"117","06.26.19","H.BROWN",45,"06.26.19","H.BROWN",45,"E7760","No"
"118","06.26.19","H.BROWN",46,"06.26.19","H.BROWN",46,"E7760","No"
"119","06.26.19","H.BROWN",47,"06.26.19","H.BROWN",47,"E7760","No"
"120","06.26.19","H.BROWN",48,"06.26.19","H.BROWN",48,"E7760","No"
"121","08.21.19","J.PLAGGENBERG",1,"08.21.19","J.PLAGGENBERG",1,"E7760","No"
"122","08.21.19","J.PLAGGENBERG",2,"08.21.19","J.PLAGGENBERG",2,"E7760","No"
"123","08.21.19","J.PLAGGENBERG",3,"08.21.19","J.PLAGGENBERG",3,"E7760","No"
"124","08.21.19","J.PLAGGENBERG",4,"08.21.19","J.PLAGGENBERG",4,"E7760","No"
"125","08.21.19","J.PLAGGENBERG",5,"08.21.19","J.PLAGGENBERG",5,"E7760","No"
"126","08.21.19","J.PLAGGENBERG",6,"08.21.19","J.PLAGGENBERG",6,"E7760","No"
"127","08.21.19","J.PLAGGENBERG",7,"08.21.19","J.PLAGGENBERG",7,"E7760","No"
"128","08.21.19","J.PLAGGENBERG",8,"08.21.19","J.PLAGGENBERG",8,"E7760","No"
"129","08.21.19","J.PLAGGENBERG",9,"08.21.19","J.PLAGGENBERG",9,"E7760","No"
"130","08.21.19","J.PLAGGENBERG",10,"08.21.19","J.PLAGGENBERG",10,"E7760","No"
"131","08.21.19","J.PLAGGENBERG",11,"08.21.19","J.PLAGGENBERG",11,"E7760","No"
"132","08.21.19","J.PLAGGENBERG",12,"08.21.19","J.PLAGGENBERG",12,"E7760","No"
"133","08.21.19","J.PLAGGENBERG",13,"08.21.19","J.PLAGGENBERG",13,"E7760","No"
"134","08.21.19","J.PLAGGENBERG",14,"08.21.19","J.PLAGGENBERG",14,"E7760","No"
"135","08.21.19","J.PLAGGENBERG",15,"08.21.19","J.PLAGGENBERG",15,"E7760","No"
"136","08.21.19","J.PLAGGENBERG",16,"08.21.19","J.PLAGGENBERG",16,"E7760","No"
"137","08.21.19","J.PLAGGENBERG",17,"08.21.19","J.PLAGGENBERG",17,"E7760","No"
"138","08.21.19","J.PLAGGENBERG",18,"08.21.19","J.PLAGGENBERG",18,"E7760","No"
"139","08.29.19","J.PLAGGENBERG",1,"08.29.19","J.PLAGGENBERG",1,"E7760","No"
"140","08.29.19","J.PLAGGENBERG",2,"08.29.19","J.PLAGGENBERG",2,"E7760","No"
"141","08.29.19","J.PLAGGENBERG",3,"08.29.19","J.PLAGGENBERG",3,"E7760","No"
"142","08.29.19","J.PLAGGENBERG",4,"08.29.19","J.PLAGGENBERG",4,"E7760","No"
"143","08.29.19","J.PLAGGENBERG",5,"08.29.19","J.PLAGGENBERG",5,"E7760","No"
"144","08.29.19","J.PLAGGENBERG",6,"08.29.19","J.PLAGGENBERG",6,"E7760","No"
